date;close
2021-04-27;32025
2021-04-28;31600
2021-04-29;32050
2021-04-30;32025
2021-05-03;31950
2021-05-04;32000
2021-05-05;32125
2021-05-06;32125
2021-05-07;32000
2021-05-10;32100
2021-05-11;32400
2021-05-17;32500
2021-05-18;31950
2021-05-19;31725
2021-05-20;31900
2021-05-21;31800
2021-05-22;33000
2021-05-24;31625
2021-05-25;31775
2021-05-27;31350
2021-05-28;31700
2021-05-31;31875
2021-06-02;32325
2021-06-03;33000
2021-06-04;32900
2021-06-07;32650
2021-06-08;32150
2021-06-09;32650
2021-06-10;33100
2021-06-11;32350
2021-06-14;32050
2021-06-15;32350
2021-06-16;31925
2021-06-17;31650
2021-06-18;31625
2021-06-21;31250
2021-06-22;31700
2021-06-23;31150
2021-06-24;31050
2021-06-25;30950
2021-06-28;30275
2021-06-29;30225
2021-06-30;30125
2021-07-01;30125
2021-07-02;30500
2021-07-05;30550
2021-07-06;30275
2021-07-07;30325
2021-07-08;30075
2021-07-09;30100
